Dấu thời gian,1. Please specify your age: ,2. Please select your gender:,3. Please select your College:,4. Please indicate your current Year of Study:,5. What is your GPA for the last semester?,6.  Are you currently employed (including part-time and internship)?,"7. On average, how many hours a day do you spend on entertainment/leisure/recreational activities? ","8. On average, how many hours do you spend self-studying a day?",9. Which of the following environments best describe your self-study location?,"10. On average, how many hours do you sleep a day?",11. To what extent do you agree with the following statements? [Frequent procrastination can have a negative impact on my long term learning process.],11. To what extent do you agree with the following statements? [I tend to procrastinate when deadlines are still far away.],11. To what extent do you agree with the following statements? [Creating a study plan help me reduce my procrastination],11. To what extent do you agree with the following statements? [I am confident in my ability to start a task early when necessary],11. To what extent do you agree with the following statements? [Starting a task early makes me feel uncomfortable and difficult to maintain over time.],"11. To what extent do you agree with the following statements? [To ensure data quality, please select the third option from the left.]",11. To what extent do you agree with the following statements? [Procrastination provide a sense of comfort or convenience.],11. To what extent do you agree with the following statements? [My peers consider procrastination to be quite normal.],11. To what extent do you agree with the following statements? [I have complete control over my procrastination habit.],11. To what extent do you agree with the following statements? [I plan to begin my tasks sooner starting next month.],11. To what extent do you agree with the following statements? [I often delay working on assignments until close to the deadline.],12. How often are you able to maintain a high level of focus throughout your self-study period? ,13. How often do you delay working on assignments for courses that you find uninteresting or unenjoyable? ,Who referred you to this survey?,What is your major,What is your major,4. Please indicate your current Year of Study:,5. What is your GPA for the last semester?,6.  Are you currently employed (including part-time and internship)?,"7. On average, how many hours a day do you spend on entertainment/leisure/recreational activities? ","8. On average, how many hours do you spend self-studying a day?",9. Which of the following environments best describe your self-study location?,"10. On average, how many hours do you sleep a day?",11. To what extent do you agree with the following statements? [Frequent procrastination can have a negative impact on my long term learning process.],11. To what extent do you agree with the following statements? [I tend to procrastinate when deadlines are still far away.],11. To what extent do you agree with the following statements? [Creating a study plan help me reduce my procrastination],11. To what extent do you agree with the following statements? [I am confident in my ability to start a task early when necessary],11. To what extent do you agree with the following statements? [Starting a task early makes me feel uncomfortable and difficult to maintain over time.],"11. To what extent do you agree with the following statements? [To ensure data quality, please select the third option from the left.]",11. To what extent do you agree with the following statements? [Procrastination provide a sense of comfort or convenience.],11. To what extent do you agree with the following statements? [My peers consider procrastination to be quite normal.],11. To what extent do you agree with the following statements? [I have complete control over my procrastination habit.],11. To what extent do you agree with the following statements? [I plan to begin my tasks sooner starting next month.],11. To what extent do you agree with the following statements? [I often delay working on assignments until close to the deadline.],12. How often are you able to maintain a high level of focus throughout your self-study period? ,13. How often do you delay working on assignments for courses that you find uninteresting or unenjoyable? ,Who referred you to this survey?
14/05/2026 12:02:51,18,Female,CAS (Arts and Sciences),1st Year,3.0 – 3.49,No,4,5,Open learning space (i.e. university library),6,Agree,Agree,Neutral,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Neutral,4,5,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 12:05:08,19,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,2,5,"Private space (i.e. bedroom, home office)",5,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,6,3,"Ong Quỳnh Trâm, Đỗ Vĩnh Nhi, Nguyễn Trọng Nhân",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 12:16:30,19,Female,CBM (Business and Management),1st Year,3.5 – 4.0,Yes,4,8,Flexible,8,Strongly Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,5,4,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 12:31:09,20,Male,CECS (Engineering & Computer Science),1st Year,2.0 – 2.49,No,6,3,Open learning space (i.e. university library),6,Strongly Agree,Strongly Disagree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Agree,Strongly Agree,4,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 12:35:54,18,Female,CAS (Arts and Sciences),1st Year,3.0 – 3.49,Yes,2,12,Collaborative space (i.e. group study room),5,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Somewhat Agree,4,4,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 13:36:24,20,Male,CECS (Engineering & Computer Science),2nd Year,3.5 – 4.0,Yes,2,8,"Private space (i.e. bedroom, home office)",6,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,4,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 13:40:17,19,Male,CECS (Engineering & Computer Science),1st Year,2.5 – 2.99,No,5,6,Collaborative space (i.e. group study room),6,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,4,6,Phan Minh Đức,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 13:41:13,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,4,4,"Private space (i.e. bedroom, home office)",5.5,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Agree,6,6,"Bùi Duy Linh, Phan Minh Đức",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 13:42:54,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,5,5,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Strongly Agree,Somewhat Agree,4,5,"Lê Huy Tâm, Bùi Duy Linh, Phan Minh Đức, Nguyễn Hà My",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 13:44:19,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,Yes,5,7,"Private space (i.e. bedroom, home office)",6,Neutral,Strongly Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,4,7,Phan Minh Đức,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 13:47:22,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,10,1,Open learning space (i.e. university library),4,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,1,7,Đặng Tuấn Kiệt,Computer Science,,1st Year,3.5 – 4.0,No,10,1,Collaborative space (i.e. group study room),4,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,1,7,Đặng Tuấn Kiệt
14/05/2026 13:55:18,18,Male,CECS (Engineering & Computer Science),,,,,,,,,,,,,,,,,,,,,,,,1st Year,3.0 – 3.49,No,5,6,Open learning space (i.e. university library),6,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,6,6,Nguyễn Trọng Nhân
14/05/2026 13:56:07,19,Male,CHS (Health Science),,,,,,,,,,,,,,,,,,,,,,,,1st Year,3.5 – 4.0,No,4,3,"Private space (i.e. bedroom, home office)",8,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,4,4,Đặng Tuấn Kiệt
14/05/2026 13:56:26,18,Male,CBM (Business and Management),,,,,,,,,,,,,,,,,,,,,,,,1st Year,3.0 – 3.49,No,2,9,Collaborative space (i.e. group study room),5,Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,4,5,Đỗ Vĩnh Nhi
14/05/2026 13:58:19,18,Male,CBM (Business and Management),,,,,,,,,,,,,,,,,,,,,,,,1st Year,3.0 – 3.49,No,4,1,"Private space (i.e. bedroom, home office)",9,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Disagree,4,7,Đặng Tuấn Kiệt
14/05/2026 14:00:49,20,Female,Non-VinUnian,3rd Year,3.0 – 3.49,No,3,6,Cafes,7,Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Neutral,Somewhat Agree,Somewhat Agree,5,3,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 14:03:02,18,Female,CAS (Arts and Sciences),,,,,,,,,,,,,,,,,,,,,,Business / Economics,,1st Year,3.0 – 3.49,No,4,7,Cafes,8,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,5,4,Đỗ Vĩnh Nhi
14/05/2026 14:12:16,18,Female,CAS (Arts and Sciences),1st Year,2.5 – 2.99,Yes,3,6,Collaborative space (i.e. group study room),6,Somewhat Agree,Strongly Agree,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,5,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 14:14:20,19,Male,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,3,1,"Private space (i.e. bedroom, home office)",6,Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,5,4,"Đặng Tuấn Kiệt, Lê Huy Tâm",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 14:17:17,20,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Engineering / Fundamental Science,,3rd Year,3.0 – 3.49,Yes,4,7,Cafes,6,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,5,4,Đỗ Vĩnh Nhi
14/05/2026 14:18:27,18,Male,CBM (Business and Management),1st Year,3.0 – 3.49,No,3,6,Cafes,7,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,6,4,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 14:32:49,20,Female,CAS (Arts and Sciences),2nd Year,3.0 – 3.49,Yes,3,5,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,6,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 14:34:03,18,Male,CECS (Engineering & Computer Science),1st Year,2.5 – 2.99,No,0.5,10,Open learning space (i.e. university library),7.5,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,7,1,"Đặng Tuấn Kiệt, Phan Minh Đức",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 14:43:43,18,Male,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,4,5,"Private space (i.e. bedroom, home office)",7,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,5,4,Nguyễn Trọng Nhân,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 15:01:56,18,Female,CAS (Arts and Sciences),1st Year,3.0 – 3.49,No,2,8,Collaborative space (i.e. group study room),5,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,5,3,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 15:04:25,19,Female,CAS (Arts and Sciences),1st Year,3.5 – 4.0,Yes,2,2,Collaborative space (i.e. group study room),7,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,5,7,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 15:23:50,18,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Law ,,1st Year,3.0 – 3.49,Yes,7,2,"Private space (i.e. bedroom, home office)",8,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,4,6,Ong Quỳnh Trâm
14/05/2026 15:31:20,21,Female,CBM (Business and Management),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 15:36:29,18,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,1,1,"Private space (i.e. bedroom, home office)",7,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,7,4,"Bùi Duy Linh, Phan Minh Đức, Nguyễn Cảnh Kỳ",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 15:38:33,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,Yes,2,8,"Private space (i.e. bedroom, home office)",6,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,5,4,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 15:56:10,18,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Humanities,,1st Year,2.0 – 2.49,No,2,5,Open learning space (i.e. university library),6,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,Neutral,Somewhat Disagree,5,5,Nguyễn Hà My
14/05/2026 16:17:24,18,Female,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,15,1,"Private space (i.e. bedroom, home office)",7,Agree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Disagree,Agree,3,7,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 16:25:03,18,Prefer not to say,CECS (Engineering & Computer Science),1st Year,2.5 – 2.99,No,10,1,Open learning space (i.e. university library),6,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1,4,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 17:34:44,18,Male,CBM (Business and Management),1st Year,3.5 – 4.0,Yes,4,6,"Private space (i.e. bedroom, home office)",7,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Neutral,Agree,Agree,Somewhat Agree,5,3,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 17:41:33,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,Yes,4,8,"Private space (i.e. bedroom, home office)",6,Strongly Agree,Agree,Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,6,5,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 17:46:37,18,Female,CBM (Business and Management),1st Year,2.5 – 2.99,No,7,6,Open learning space (i.e. university library),8,Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,4,6,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 17:56:20,18,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,1st Year,3.5 – 4.0,Yes,3,9,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Agree,Somewhat Disagree,6,2,Hỏa Thúy Quỳnh
14/05/2026 18:04:13,20,Female,CAS (Arts and Sciences),2nd Year,3.0 – 3.49,No,5,8,Cafes,6,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,3,5,"Đặng Tuấn Kiệt, Hỏa Thúy Quỳnh, Đỗ Vĩnh Nhi",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 18:04:35,18,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Healthcare,,1st Year,3.0 – 3.49,Yes,8,9,Collaborative space (i.e. group study room),5,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Disagree,Neutral,Agree,Somewhat Disagree,5,1,Hỏa Thúy Quỳnh
14/05/2026 18:04:39,18,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,1st Year,3.5 – 4.0,Yes,8,6,Cafes,7,Strongly Agree,Somewhat Agree,Strongly Agree,Neutral,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Disagree,7,3,Hỏa Thúy Quỳnh
14/05/2026 19:16:05,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,No,0,7,"Private space (i.e. bedroom, home office)",6,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,6,5,"Đặng Tuấn Kiệt, Hỏa Thúy Quỳnh",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 20:49:58,18,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,1st Year,3.0 – 3.49,No,5,7,"Private space (i.e. bedroom, home office)",6,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Disagree,6,2,Hỏa Thúy Quỳnh
14/05/2026 20:59:45,18,Other,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,1st Year,3.0 – 3.49,No,4,8,Cafes,7,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,5,3,Đỗ Vĩnh Nhi
14/05/2026 21:53:19,19,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,7,3,Open learning space (i.e. university library),7,Strongly Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,4,6,Nguyễn Trọng Nhân,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 22:26:31,18,Female,CAS (Arts and Sciences),1st Year,3.5 – 4.0,Yes,3,4,Collaborative space (i.e. group study room),5,Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,4,4,"Đặng Tuấn Kiệt, Lê Huy Tâm, Hỏa Thúy Quỳnh",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 22:52:58,18,Male,CBM (Business and Management),1st Year,3.5 – 4.0,Yes,8,8,"Private space (i.e. bedroom, home office)",9,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,5,4,Nguyễn Trọng Nhân,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 23:48:22,19,Male,CBM (Business and Management),2nd Year,3.0 – 3.49,No,2,7,Open learning space (i.e. university library),5,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,5,4,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 23:49:05,20,Male,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Social Sciences,,3rd Year,3.0 – 3.49,Yes,3,10,Cafes,4,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,4,5,Đỗ Vĩnh Nhi
15/05/2026 1:30:18,19,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,1st Year,3.0 – 3.49,No,7,2,"Private space (i.e. bedroom, home office)",6,Strongly Agree,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,5,6,Nguyễn Hà My
15/05/2026 9:31:34,20,Female,CAS (Arts and Sciences),2nd Year,3.5 – 4.0,Yes,4,6,"Private space (i.e. bedroom, home office)",7,Neutral,Neutral,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,3,5,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 10:15:36,19,Male,CAS (Arts and Sciences),1st Year,2.5 – 2.99,Yes,2,2,Open learning space (i.e. university library),5,Agree,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Neutral,4,5,Nguyễn Cảnh Kỳ,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 11:59:06,19,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Social Sciences,,1st Year,3.5 – 4.0,No,5,8,Open learning space (i.e. university library),6,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Disagree,Agree,Neutral,Somewhat Agree,Strongly Disagree,6,4,Lê Huy Tâm
15/05/2026 13:14:05,18,Male,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,1st Year,3.0 – 3.49,Yes,6,2,Open learning space (i.e. university library),8,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,5,3,lynne idk her name
15/05/2026 13:51:19,18,Male,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,1st Year,3.5 – 4.0,No,4,2,"Private space (i.e. bedroom, home office)",5,Strongly Agree,Agree,Neutral,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Disagree,Agree,Somewhat Agree,4,6,Lê Huy Tâm
15/05/2026 13:51:21,19,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,5,6,Cafes,5,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,4,6,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 14:01:07,18,Male,CHS (Health Science),1st Year,3.0 – 3.49,No,5,5,"Private space (i.e. bedroom, home office)",7,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,5,5,Hỏa Thúy Quỳnh,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 14:13:25,20,Male,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Healthcare,,3rd Year,3.5 – 4.0,Yes,1,3,Cafes,5,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Disagree,7,2,Nguyễn Hà My
15/05/2026 14:17:38,19,Other,CAS (Arts and Sciences),2nd Year,3.0 – 3.49,Yes,3,1,"Private space (i.e. bedroom, home office)",9,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,5,4,Nguyễn Hà My,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 14:18:25,18,Female,CAS (Arts and Sciences),1st Year,3.5 – 4.0,Yes,4,3,Open learning space (i.e. university library),6,Agree,Agree,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,5,7,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 14:18:52,19,Female,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Marketing,,1st Year,3.5 – 4.0,Yes,6,2,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,4,5,Nguyễn Hà My
15/05/2026 14:22:10,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,7,8,Cafes,10,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,Nguyễn Hà My,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 14:28:29,19,Other,Non-VinUnian,,,,,,,,,,,,,,,,,,,,,,Business / Economics,,1st Year,2.5 – 2.99,No,3,1,"Private space (i.e. bedroom, home office)",6,Agree,Agree,Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,4,5,Nguyễn Hà My
15/05/2026 14:31:13,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,No,5,7,Open learning space (i.e. university library),7,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,5,6,Nguyễn Hà My,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 14:38:45,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,No,3,7,Cafes,6,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,5,5,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
15/05/2026 14:51:22,18,Male,CHS (Health Science),1st Year,3.5 – 4.0,No,7,7,"Private space (i.e. bedroom, home office)",7,Neutral,Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,3,5,Lê Huy Tâm,,,,,,,,,,,,,,,,,,,,,,,
